UnitID,Institution Name,State abbreviation (HD2019),
459523,ABC Beauty Academy,TX,
222178,Abilene Christian University,TX,
434283,Academy of Hair Design-Beaumont,TX,
447449,Academy of Hair Design-Jasper,TX,
434274,Academy of Hair Design-Lufkin,TX,
437608,Advanced Barber College and Hair Design,TX,
458052,Advanced Beauty College,TX,
482981,Alamo City Barber College,TX,
222497,Alamo Community College District Central Office,TX,
490522,Allgood Beauty Institute,TX,
445461,Altierus Career College-Bissonnet,TX,
222567,Alvin Community College,TX,
222576,Amarillo College,TX,
222628,Amberton University,TX,
429085,American College of Acupuncture and Oriental Med,TX,
445133,American InterContinental University-Houston,TX,
222822,Angelina College,TX,
222831,Angelo State University,TX,
490425,Ann Webb Skin Institute,TX,
429094,AOMA Graduate School of Integrative Medicine,TX,
494162,Arizona College-Dallas,TX,
222877,Arlington Baptist University,TX,
222886,Arlington Career Institute,TX,
379746,Astrodome Career Centers,TX,
444556,Auguste Escoffier School of Culinary Arts-Austin,TX,
222983,Austin College,TX,
222992,Austin Community College District,TX,
247825,Austin Graduate School of Theology,TX,
223001,Austin Presbyterian Theological Seminary,TX,
455354,Aveda Arts & Sciences Institute-San Antonio,TX,
458070,Avenue Five Institute,TX,
494524,Avenue Five Institute-South Austin Campus,TX,
441788,Aviation Institute of Maintenance-Dallas,TX,
227748,Aviation Institute of Maintenance-Houston,TX,
420705,Bakke Graduate University,TX,
414489,Baldwin Beauty School-North Austin,TX,
223056,Baldwin Beauty School-South Austin,TX,
223083,Baptist Health System School of Health Professions,TX,
223117,Baptist Missionary Association Theological Seminary,TX,
444398,Baptist University of the Americas,TX,
484048,Barber Institute of Texas,TX,
223223,Baylor College of Medicine,TX,
223232,Baylor University,TX,
483559,Bella Cosmetology College,TX,
224013,BK Cosmo College of Cosmetology,TX,
223427,Blinn College,TX,
223506,Brazosport College,TX,
450304,Brite Divinity School,TX,
223524,Brookhaven College,TX,
461740,Buckner Barber School,TX,
493734,Careers Institute of America,TX,
475750,Carrington College-Mesquite,TX,
449773,CCI Training Center-Arlington,TX,
223773,Cedar Valley College,TX,
379782,Center for Advanced Legal Studies,TX,
246460,Central Texas Beauty College-Round Rock,TX,
383464,Central Texas Beauty College-Temple,TX,
223816,Central Texas College,TX,
432269,CET-El Paso,TX,
466930,Chamberlain University-Texas,TX,
449782,Champion Beauty College,TX,
223852,Charles and Sues School of Hair Design,TX,
492607,Chicago School of Professional Psychology at Dallas,TX,
494630,Christ Mission College,TX,
223898,Cisco College,TX,
223922,Clarendon College,TX,
223320,Coastal Bend College,TX,
439613,College of Biblical Studies,TX,
388520,College of Biblical Studies-Houston,TX,
226408,College of the Mainland,TX,
247834,Collin County Community College District,TX,
366261,Commonwealth Institute of Funeral Service,TX,
460181,Concorde Career College-Dallas,TX,
441742,Concorde Career College-Grand Prairie,TX,
460206,Concorde Career College-San Antonio,TX,
224004,Concordia University Texas,TX,
486770,Cortiva Institute-Arlington,TX,
476346,Cortiva Institute-Dallas,TX,
481942,Cortiva Institute-Houston,TX,
482200,Cosmetology Academy of Texarkana,TX,
224156,Cosmetology Career Center LLC,TX,
226675,Covenant School of Nursing and Allied Health,TX,
475608,Criswell College,TX,
444565,Culinary Institute Inc,TX,
480888,CyberTex Institute of Technology,TX,
224226,Dallas Baptist University,TX,
443021,Dallas Barber & Stylist College,TX,
224244,Dallas Christian College,TX,
224253,Dallas County Community College District,TX,
224271,Dallas Institute of Funeral Service,TX,
437732,Dallas Nursing Institute,TX,
224305,Dallas Theological Seminary,TX,
224350,Del Mar College,TX,
493804,Deluxe Barber College,TX,
482635,DeVry University-Texas,TX,
461388,Diamonds Cosmetology College,TX,
458043,DuVall's School of Cosmetology,TX,
224527,East Texas Baptist University,TX,
224572,Eastfield College,TX,
224615,El Centro College,TX,
224642,El Paso Community College,TX,
224712,Episcopal Theological Seminary of the Southwest,TX,
224758,Exposito School of Hair Design,TX,
487490,Florida Career College-Houston Campus,TX,
224828,Fort Worth Beauty School,TX,
392415,Fortis College,TX,
458478,Fortis College-Grand Prairie,TX,
459958,Fortis Institute,TX,
224891,Frank Phillips College,TX,
485926,GA Beauty & Barber School,TX,
406033,Galen College of Nursing-San Antonio,TX,
224961,Galveston College,TX,
480912,Gemini School of Visual Arts & Communication,TX,
481401,Grace School of Theology,TX,
225070,Grayson College,TX,
494560,Guidance College,TX,
225201,Hallmark University,TX,
455327,Hands on Therapy,TX,
225247,Hardin-Simmons University,TX,
225371,Hill College,TX,
225399,Houston Baptist University,TX,
493743,Houston Barber School,TX,
225423,Houston Community College,TX,
246345,Houston Graduate School of Theology,TX,
458034,Houston International College Cardiotech Ultrasound School,TX,
492157,Houston School of Carpentry,TX,
383792,Houston Training School-Gulfgate,TX,
380067,Houston Training School-Main Campus,TX,
484996,Houston Training Schools-Gessner,TX,
225520,Howard College,TX,
225548,Howard Payne University,TX,
225575,Huston-Tillotson University,TX,
367361,Interactive College of Technology,TX,
443696,Interactive College of Technology,TX,
440776,Interactive College of Technology,TX,
431284,International Beauty College,TX,
225788,International Business College-El Paso,TX,
225779,International Business College-El Paso,TX,
225876,Jacksonville College-Main Campus,TX,
225885,Jarvis Christian College,TX,
443146,Jay's Technical Institute,TX,
485810,K & G 5 Star Barber College,TX,
225991,KD Conservatory College of Film and Dramatic Arts,TX,
226019,Kilgore College,TX,
441760,Lamar Institute of Technology,TX,
226107,Lamar State College-Orange,TX,
226116,Lamar State College-Port Arthur,TX,
226091,Lamar University,TX,
456214,Lamson Institute,TX,
226125,Laredo Beauty College Inc,TX,
486503,Laredo CHI Academy Beauty School,TX,
226134,Laredo College,TX,
226204,Lee College,TX,
226231,LeTourneau University,TX,
226277,Lincoln College of Technology-Grand Prairie,TX,
227182,Lone Star College System,TX,
226383,Lubbock Christian University,TX,
481003,M T Training Center,TX,
490674,Manuel and Theresa's School of Hair Design,TX,
451547,Manuel and Theresa's School of Hair Design-Bryan,TX,
470296,Manuel and Theresa's School of Hair Design-Victoria,TX,
493549,McAllen Careers Institute,TX,
226578,McLennan Community College,TX,
226587,McMurry University,TX,
455336,MediaTech Institute-Dallas,TX,
456153,MediaTech Institute-Houston,TX,
417752,Messenger College,TX,
224776,Miami International University of Art & Design-Art Institute Dallas,TX,
494728,Michael's Barber & Hair Stylist Academy,TX,
423412,Mid Cities Barber College,TX,
226806,Midland College,TX,
226833,Midwestern State University,TX,
385549,Milan Institute of Cosmetology,TX,
460534,Milan Institute of Cosmetology-El Paso,TX,
449904,Milan Institute of Cosmetology-San Antonio Military,TX,
440855,Milan Institute-Amarillo,TX,
437778,Milan Institute-San Antonio Ingram,TX,
488299,Mission Beauty Institute,TX,
493655,Montana Barber Institute,TX,
226930,Mountain View College,TX,
491589,Mystros Barber Academy,TX,
451875,National American University-Austin,TX,
491118,National American University-Career Point College Teachout Site,TX,
482325,National American University-Georgetown,TX,
492573,National American University-Killeen,TX,
478014,National American University-Mesquite,TX,
482334,National American University-Richardson,TX,
488110,Natural Images Beauty College,TX,
227146,Navarro College,TX,
483513,Neecee's Barber College,TX,
227155,Neilson Beauty College,TX,
461795,North American University,TX,
224110,North Central Texas College,TX,
227191,North Lake College,TX,
488730,Northeast Lakeview College,TX,
227225,Northeast Texas Community College,TX,
369686,Northwest Educational Center,TX,
420398,Northwest Vista College,TX,
377272,Nuvani Institute,TX,
377281,Nuvani Institute,TX,
227289,Oblate School of Theology,TX,
227298,Ocean Corporation,TX,
227304,Odessa College,TX,
227313,Ogle School Hair Skin Nails-Arlington,TX,
381404,Ogle School Hair Skin Nails-Dallas,TX,
478591,Ogle School Hair Skin Nails-Denton,TX,
227322,Ogle School Hair Skin Nails-Ft Worth,TX,
248703,Ogle School Hair Skin Nails-Hurst,TX,
460978,Ogle School Hair Skin Nails-North Dallas,TX,
480125,Ogle School Hair Skin Nails-San Antonio,TX,
484604,Ogle School Hair Skin Nails-Stafford,TX,
227331,Our Lady of the Lake University,TX,
246354,Palo Alto College,TX,
227386,Panola College,TX,
227401,Paris Junior College,TX,
243823,Parker University,TX,
475486,Paul Mitchell the School-Arlington,TX,
451565,Paul Mitchell the School-Austin,TX,
249238,Paul Mitchell the School-Houston,TX,
451714,Paul Mitchell the School-San Antonio,TX,
488989,Paul Mitchell the School-Webster,TX,
227429,Paul Quinn College,TX,
455345,PCCenter,TX,
369783,PCI Health Training Center,TX,
459514,Peloton College,TX,
490735,Peloton College,TX,
486813,Pima Medical Institute-El Paso,TX,
460136,Pima Medical Institute-Houston,TX,
494588,Pima Medical Institution-San Antonio,TX,
418913,Pipo Academy of Hair Design,TX,
491394,Platt College-Edge Tech Academy,TX,
456931,Platt College-STVT-Corpus Christi,TX,
228219,Platt College-STVT-McAllen,TX,
460172,Platt College-STVT-San Antonio,TX,
227526,Prairie View A & M University,TX,
484154,Preparing People Barber Styling College,TX,
458016,Professional Career Training Institute,TX,
439507,Quest College,TX,
227687,Ranger College,TX,
223463,Remington College-Dallas Campus,TX,
377111,Remington College-Fort Worth Campus,TX,
451857,Remington College-Houston Southeast Campus,TX,
445203,Remington College-North Houston Campus,TX,
227757,Rice University,TX,
227766,Richland College,TX,
476726,Rio Grande Valley College,TX,
227845,Saint Edward's University,TX,
459532,Salon & Spa Institute,TX,
485874,Salon Boutique Academy,TX,
491835,Salon Professional Academy of San Antonio,TX,
227881,Sam Houston State University,TX,
227924,San Antonio College,TX,
227979,San Jacinto Community College,TX,
377218,School of Automotive Machinists & Technology,TX,
228042,Schreiner University,TX,
369695,Sebring Career Schools-Houston,TX,
246406,Sebring Career Schools-Huntsville,TX,
368540,Seguin Beauty School-New Braunfels,TX,
228088,Seguin Beauty School-Seguin,TX,
228158,South Plains College,TX,
228185,South Texas Barber College Inc,TX,
409315,South Texas College,TX,
228194,South Texas College of Law Houston,TX,
455974,South Texas Training Center,TX,
456922,South Texas Vocational Technical Institute-Brownsville,TX,
228200,South Texas Vocational Technical Institute-Weslaco,TX,
480073,South University-Austin,TX,
449807,Southeast Texas Career Institute,TX,
226903,Southern Careers Institute-Austin,TX,
459967,Southern Careers Institute-Brownsville,TX,
405076,Southern Careers Institute-Corpus Christi,TX,
459985,Southern Careers Institute-Harlingen,TX,
408385,Southern Careers Institute-Pharr,TX,
430245,Southern Careers Institute-San Antonio,TX,
482015,Southern Careers Institute-San Antonio,TX,
493992,Southern Careers Institute-Waco,TX,
228246,Southern Methodist University,TX,
481322,Southern Texas Careers Academy,TX,
382911,Southwest Collegiate Institute for the Deaf,TX,
228282,Southwest School of Business and Technical Careers-San Antonio,TX,
228316,Southwest Texas Junior College,TX,
451556,Southwest University at El Paso,TX,
228468,Southwestern Adventist University,TX,
228325,Southwestern Assemblies of God University,TX,
494603,Southwestern Baptist Theological Seminary,TX,
228486,Southwestern Christian College,TX,
228343,Southwestern University,TX,
227854,St Philip's College,TX,
228149,St. Mary's University,TX,
382902,Star College of Cosmetology 2,TX,
228431,Stephen F Austin State University,TX,
491066,Strand Institute of Beauty & Esthetics,TX,
458973,Strayer University-Texas,TX,
228501,Sul Ross State University,TX,
228529,Tarleton State University,TX,
228547,Tarrant County College District,TX,
228608,Temple College,TX,
228699,Texarkana College,TX,
226152,Texas A & M International University,TX,
228723,Texas A & M University-College Station,TX,
224554,Texas A & M University-Commerce,TX,
224147,Texas A & M University-Corpus Christi,TX,
228705,Texas A & M University-Kingsville,TX,
228732,Texas A & M University-System Office,TX,
483036,Texas A&M University-Central Texas,TX,
459949,Texas A&M University-San Antonio,TX,
224545,Texas A&M University-Texarkana,TX,
440989,Texas Barber College,TX,
458061,Texas Beauty College,TX,
228866,Texas Chiropractic College Foundation Inc,TX,
228875,Texas Christian University,TX,
228884,Texas College,TX,
377315,Texas College of Cosmetology-Abilene,TX,
487232,Texas College of Cosmetology-Lubbock,TX,
419633,Texas College of Cosmetology-San Angelo,TX,
430704,Texas Health and Science University,TX,
448196,Texas Health School,TX,
494694,Texas Healthtech Institute,TX,
228981,Texas Lutheran University,TX,
229063,Texas Southern University,TX,
227377,Texas Southmost College,TX,
487320,Texas State Technical College,TX,
228459,Texas State University,TX,
229115,Texas Tech University,TX,
229337,Texas Tech University Health Sciences Center,TX,
492689,Texas Tech University Health Sciences Center-El Paso,TX,
439154,Texas Tech University System Administration,TX,
229160,Texas Wesleyan University,TX,
229179,Texas Woman's University,TX,
451820,The Art Institute of Austin,TX,
222938,The Art Institute of Houston,TX,
458982,The Art Institute of San Antonio,TX,
437635,The College of Health Care Professions-Austin,TX,
480824,The College of Health Care Professions-Dallas,TX,
480833,The College of Health Care Professions-Fort Worth,TX,
489283,The College of Health Care Professions-McAllen Campus,TX,
392257,The College of Health Care Professions-Northwest,TX,
449250,The College of Health Care Professions-San Antonio,TX,
492722,The College of Health Care Professions-South San Antonio,TX,
447591,The College of Health Care Professions-Southwest Houston,TX,
491251,The Culinary School of Fort Worth,TX,
482972,The Healthcare Institute,TX,
439701,The King's University,TX,
485953,The Recording Conservatory of Austin,TX,
491996,The Salon Professional Academy-Georgetown,TX,
458098,The Salon Professional Academy-Lewisville,TX,
228769,The University of Texas at Arlington,TX,
228778,The University of Texas at Austin,TX,
228787,The University of Texas at Dallas,TX,
228796,The University of Texas at El Paso,TX,
229027,The University of Texas at San Antonio,TX,
228802,The University of Texas at Tyler,TX,
229300,The University of Texas Health Science Center at Houston,TX,
228644,The University of Texas Health Science Center at San Antonio,TX,
416801,The University of Texas MD Anderson Cancer Center,TX,
228653,The University of Texas Medical Branch at Galveston,TX,
229018,The University of Texas of the Permian Basin,TX,
227368,The University of Texas Rio Grande Valley,TX,
229090,The University of Texas System Office,TX,
485360,The Vocational Nursing Institute Inc,TX,
418968,Tint School of Makeup and Cosmetology-Dallas,TX,
227058,Tint School of Makeup and Cosmetology-Irving,TX,
436775,Toni & Guy Hairdressing Academy-Plano,TX,
494719,Tonsorial Arts Barber College,TX,
483735,Total Transformation Institute of Cosmetology,TX,
443298,Trend Barber College,TX,
450711,Trend Barber College,TX,
402800,Tri-State Cosmetology Institute,TX,
229267,Trinity University,TX,
225308,Trinity Valley Community College,TX,
486798,Tulsa Welding School-Houston,TX,
229355,Tyler Junior College,TX,
475662,UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,TX,
229425,UCAS University of Cosemtology Arts & Sciences-McAllen,TX,
377193,UCAS University of Cosmetology Arts & Sciences,TX,
407683,UCAS University of Cosmetology Arts & Sciences-Harlingen,TX,
246415,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,TX,
229416,Universal Technical Institute of Texas Inc.,TX,
460543,Universal Technical Institute-Dallas Fort Worth,TX,
224323,University of Dallas,TX,
225511,University of Houston,TX,
225414,University of Houston-Clear Lake,TX,
225432,University of Houston-Downtown,TX,
229407,University of Houston-System Administration,TX,
225502,University of Houston-Victoria,TX,
226471,University of Mary Hardin-Baylor,TX,
227216,University of North Texas,TX,
484905,University of North Texas at Dallas,TX,
228909,University of North Texas Health Science Center,TX,
443711,University of North Texas System,TX,
484756,University of Phoenix-Texas,TX,
227863,University of St Thomas,TX,
485537,University of Texas Health Science Center at Tyler,TX,
228635,University of Texas Southwestern Medical Center,TX,
225627,University of the Incarnate Word,TX,
443322,Valley Grande Institute for Academic Studies,TX,
229504,Vernon College,TX,
223472,Vet Tech Institute of Houston,TX,
229522,Victoria Beauty College Inc,TX,
229540,Victoria College,TX,
365204,Vista College,TX,
377342,Vista College-Online,TX,
476559,Vogue College of Cosmetology,TX,
229656,Vogue College of Cosmetology-McAllen,TX,
476540,Vogue College of Cosmetology-San Antonio Fredericksburg,TX,
491871,Vogue International Academy,TX,
226879,Wade College,TX,
476896,Wade Gordon Hairdressing Academy,TX,
492591,Wade Gordon Hairdressing Academy,TX,
487065,Wade Gordon Hairdressing Academy-Lubbock,TX,
229780,Wayland Baptist University,TX,
229799,Weatherford College,TX,
477039,West Coast University-Dallas,TX,
229814,West Texas A & M University,TX,
224660,Western Technical College,TX,
224679,Western Technical College,TX,
229832,Western Texas College,TX,
229841,Wharton County Junior College,TX,
229887,Wiley College,TX,
226860,William Edge Institute,TX,
484136,Yahweh Beauty Academy,TX,